Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,153.508,4.29865e-15,0,1,0,6.50774e-8,7.97408e-9,0,0
0.0001,153.508,4.29865e-15,4.46579e-10,1,0,6.50774e-8,7.97408e-9,9.31061e-15,1.1556e-15
0.000125,153.508,4.29865e-15,5.58223e-10,1,0,6.50774e-8,7.97408e-9,1.16383e-14,1.4445e-15
0.00015,153.508,4.29865e-15,6.69868e-10,1,0,6.50774e-8,7.97408e-9,1.39659e-14,1.7334e-15
0.000175,153.508,4.29865e-15,7.81513e-10,1,0,6.50774e-8,7.97408e-9,1.62936e-14,2.0223e-15
0.0002,153.508,4.29865e-15,8.93157e-10,1,0,6.50774e-8,7.97408e-9,1.86212e-14,2.3112e-15
0.000225,153.508,4.29865e-15,1.0048e-9,1,0,6.50774e-8,7.97408e-9,2.09489e-14,2.6001e-15
0.00025,153.508,4.29865e-15,1.11645e-9,1,0,6.50774e-8,7.97408e-9,2.32765e-14,2.889e-15
0.000275,153.508,4.29865e-15,1.22809e-9,1,0,6.50774e-8,7.97408e-9,2.56042e-14,3.1779e-15
0.0003,153.508,4.29865e-15,1.33974e-9,1,0,6.50774e-8,7.97408e-9,2.79318e-14,3.4668e-15
0.000325,153.508,4.29865e-15,1.45138e-9,1,0,6.50774e-8,7.97408e-9,3.02595e-14,3.7557e-15
0.00035,153.508,4.29865e-15,1.56303e-9,1,0,6.50774e-8,7.97408e-9,3.25871e-14,4.0446e-15
0.000375,153.508,4.29865e-15,1.67467e-9,1,0,6.50774e-8,7.97408e-9,3.49148e-14,4.3335e-15
0.0004,153.508,4.29865e-15,1.78632e-9,1,0,6.50774e-8,7.97408e-9,3.72424e-14,4.6224e-15
0.000425,153.508,4.29865e-15,1.89796e-9,1,0,6.50774e-8,7.97408e-9,3.95701e-14,4.9113e-15
0.00045,153.508,4.29865e-15,2.0096e-9,1,0,6.50774e-8,7.97408e-9,4.18977e-14,5.2002e-15
0.000475,153.508,4.29865e-15,2.12125e-9,1,0,6.50774e-8,7.97408e-9,4.42254e-14,5.4891e-15
0.0005,153.508,4.29865e-15,2.23289e-9,1,0,6.50774e-8,7.97408e-9,4.6553e-14,5.778e-15
0.000525,153.508,4.29865e-15,2.34454e-9,1,0,6.50774e-8,7.97408e-9,4.88807e-14,6.0669e-15
0.00055,153.508,4.29865e-15,2.45618e-9,1,0,6.50774e-8,7.97408e-9,5.12083e-14,6.3558e-15
0.000575,153.507,4.29865e-15,2.56783e-9,1,0,6.50774e-8,7.97408e-9,5.3536e-14,6.6447e-15
0.0006,153.507,4.29865e-15,2.67947e-9,1,0,6.50773e-8,7.97408e-9,5.58636e-14,6.9336e-15
0.000625,153.507,4.29865e-15,2.79112e-9,1,0,6.50773e-8,7.97408e-9,5.81913e-14,7.2225e-15
0.00065,153.507,4.29865e-15,2.90276e-9,1,0,6.50773e-8,7.97408e-9,6.05189e-14,7.5114e-15
0.000675,153.507,4.29865e-15,3.01441e-9,1,0,6.50773e-8,7.97408e-9,6.28466e-14,7.8003e-15
0.0007,153.507,4.29865e-15,3.12605e-9,1,0,6.50773e-8,7.97408e-9,6.51742e-14,8.0892e-15
0.000725,153.507,4.29865e-15,3.2377e-9,1,0,6.50773e-8,7.97408e-9,6.75019e-14,8.3781e-15
0.00075,153.507,4.29864e-15,3.34934e-9,1,0,6.50773e-8,7.97408e-9,6.98295e-14,8.667e-15
0.000775,153.507,4.29864e-15,3.46099e-9,1,0,6.50773e-8,7.97408e-9,7.21572e-14,8.9559e-15
0.0008,153.507,4.29864e-15,3.57263e-9,1,0,6.50773e-8,7.97408e-9,7.44848e-14,9.2448e-15
0.000825,153.507,4.29864e-15,3.68428e-9,1,0,6.50773e-8,7.97408e-9,7.68125e-14,9.5337e-15
0.00085,153.507,4.29864e-15,3.79592e-9,1,0,6.50773e-8,7.97408e-9,7.91401e-14,9.8226e-15
0.000875,153.507,4.29864e-15,3.90757e-9,1,0,6.50773e-8,7.97408e-9,8.14678e-14,1.01115e-14
0.0009,153.507,4.29864e-15,4.01921e-9,1,0,6.50773e-8,7.97408e-9,8.37954e-14,1.04004e-14
0.000925,153.507,4.29864e-15,4.13086e-9,1,0,6.50773e-8,7.97408e-9,8.61231e-14,1.06893e-14
0.00095,153.507,4.29864e-15,4.2425e-9,1,0,6.50773e-8,7.97408e-9,8.84507e-14,1.09782e-14
0.000975,153.507,4.29864e-15,4.35415e-9,1,0,6.50773e-8,7.97408e-9,9.07783e-14,1.12671e-14
0.001,153.507,4.29864e-15,4.46579e-9,1,0,6.50773e-8,7.97408e-9,9.3106e-14,1.1556e-14
0.00125,153.507,4.29863e-15,5.58224e-9,1,0,6.50772e-8,7.97408e-9,1.16382e-13,1.4445e-14
0.0015,153.507,4.29863e-15,6.6987e-9,1,0,6.50772e-8,7.97408e-9,1.39659e-13,1.7334e-14
0.00175,153.506,4.29862e-15,7.81515e-9,1,0,6.50771e-8,7.97408e-9,1.62935e-13,2.0223e-14
0.002,153.506,4.2986e-15,8.93162e-9,1,0,6.5077e-8,7.97408e-9,1.86211e-13,2.3112e-14
0.00225,153.506,4.29859e-15,1.00481e-8,1,0,6.50769e-8,7.97408e-9,2.09487e-13,2.6001e-14
0.0025,153.505,4.29858e-15,1.11645e-8,1,0,6.50768e-8,7.97408e-9,2.32763e-13,2.889e-14
0.00275,153.504,4.29856e-15,1.2281e-8,1,0,6.50767e-8,7.97408e-9,2.56039e-13,3.1779e-14
0.003,153.504,4.29855e-15,1.33975e-8,1,0,6.50766e-8,7.97407e-9,2.79315e-13,3.4668e-14
0.00325,153.503,4.29853e-15,1.4514e-8,1,0,6.50764e-8,7.97407e-9,3.0259e-13,3.7557e-14
0.0035,153.502,4.29851e-15,1.56305e-8,1,0,6.50763e-8,7.97407e-9,3.25866e-13,4.0446e-14
0.00375,153.502,4.29849e-15,1.6747e-8,1,0,6.50761e-8,7.97407e-9,3.49141e-13,4.33349e-14
0.004,153.501,4.29846e-15,1.78635e-8,1,0,6.50759e-8,7.97407e-9,3.72416e-13,4.62239e-14
0.00425,153.5,4.29844e-15,1.898e-8,1,0,6.50757e-8,7.97407e-9,3.95691e-13,4.91129e-14
