Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,102.041,2.85745e-15,0,1,0,4.25893e-8,3.23049e-8,0,0
0.0001,102.041,2.85745e-15,-6.95275e-9,1,0,4.25893e-8,3.23049e-8,1.09548e-16,-1.50147e-16
0.000125,102.041,2.85745e-15,-8.69094e-9,1,0,4.25893e-8,3.23049e-8,1.36935e-16,-1.87684e-16
0.00015,102.041,2.85745e-15,-1.04291e-8,1,0,4.25893e-8,3.23049e-8,1.64322e-16,-2.2522e-16
0.000175,102.041,2.85745e-15,-1.21673e-8,1,0,4.25893e-8,3.23049e-8,1.91709e-16,-2.62757e-16
0.0002,102.041,2.85745e-15,-1.39055e-8,1,0,4.25893e-8,3.23049e-8,2.19095e-16,-3.00294e-16
0.000225,102.041,2.85745e-15,-1.56437e-8,1,0,4.25893e-8,3.23049e-8,2.46482e-16,-3.37831e-16
0.00025,102.041,2.85745e-15,-1.73819e-8,1,0,4.25893e-8,3.23049e-8,2.73869e-16,-3.75367e-16
0.000275,102.041,2.85745e-15,-1.91201e-8,1,0,4.25893e-8,3.23049e-8,3.01256e-16,-4.12904e-16
0.0003,102.041,2.85745e-15,-2.08582e-8,1,0,4.25893e-8,3.23049e-8,3.28643e-16,-4.50441e-16
0.000325,102.041,2.85745e-15,-2.25964e-8,1,0,4.25893e-8,3.23049e-8,3.5603e-16,-4.87977e-16
0.00035,102.041,2.85745e-15,-2.43346e-8,1,0,4.25893e-8,3.23049e-8,3.83417e-16,-5.25514e-16
0.000375,102.041,2.85745e-15,-2.60728e-8,1,0,4.25893e-8,3.23049e-8,4.10804e-16,-5.63051e-16
0.0004,102.041,2.85745e-15,-2.7811e-8,1,0,4.25893e-8,3.23049e-8,4.38191e-16,-6.00588e-16
0.000425,102.041,2.85745e-15,-2.95492e-8,1,0,4.25893e-8,3.23049e-8,4.65578e-16,-6.38124e-16
0.00045,102.041,2.85745e-15,-3.12874e-8,1,0,4.25893e-8,3.23049e-8,4.92965e-16,-6.75661e-16
0.000475,102.041,2.85745e-15,-3.30256e-8,1,0,4.25893e-8,3.23049e-8,5.20352e-16,-7.13198e-16
0.0005,102.041,2.85745e-15,-3.47637e-8,1,0,4.25893e-8,3.23049e-8,5.47739e-16,-7.50735e-16
0.000525,102.041,2.85745e-15,-3.65019e-8,1,0,4.25893e-8,3.23049e-8,5.75126e-16,-7.88271e-16
0.00055,102.041,2.85745e-15,-3.82401e-8,1,0,4.25893e-8,3.23049e-8,6.02512e-16,-8.25808e-16
0.000575,102.041,2.85745e-15,-3.99783e-8,1,0,4.25893e-8,3.23049e-8,6.29899e-16,-8.63345e-16
0.0006,102.041,2.85745e-15,-4.17165e-8,1,0,4.25893e-8,3.23049e-8,6.57286e-16,-9.00881e-16
0.000625,102.041,2.85745e-15,-4.34547e-8,1,0,4.25893e-8,3.23049e-8,6.84673e-16,-9.38418e-16
0.00065,102.041,2.85745e-15,-4.51929e-8,1,0,4.25893e-8,3.23049e-8,7.1206e-16,-9.75955e-16
0.000675,102.041,2.85745e-15,-4.69311e-8,1,0,4.25893e-8,3.23049e-8,7.39447e-16,-1.01349e-15
0.0007,102.041,2.85745e-15,-4.86692e-8,1,0,4.25893e-8,3.23049e-8,7.66834e-16,-1.05103e-15
0.000725,102.041,2.85745e-15,-5.04074e-8,1,0,4.25893e-8,3.23049e-8,7.94221e-16,-1.08857e-15
0.00075,102.041,2.85745e-15,-5.21456e-8,1,0,4.25893e-8,3.23049e-8,8.21608e-16,-1.1261e-15
0.000775,102.041,2.85745e-15,-5.38838e-8,1,0,4.25893e-8,3.23049e-8,8.48995e-16,-1.16364e-15
0.0008,102.041,2.85745e-15,-5.5622e-8,1,0,4.25893e-8,3.23049e-8,8.76382e-16,-1.20118e-15
0.000825,102.041,2.85745e-15,-5.73602e-8,1,0,4.25893e-8,3.23049e-8,9.03769e-16,-1.23871e-15
0.00085,102.041,2.85745e-15,-5.90984e-8,1,0,4.25893e-8,3.23049e-8,9.31156e-16,-1.27625e-15
0.000875,102.041,2.85745e-15,-6.08366e-8,1,0,4.25893e-8,3.23049e-8,9.58543e-16,-1.31379e-15
0.0009,102.041,2.85745e-15,-6.25747e-8,1,0,4.25893e-8,3.23049e-8,9.85929e-16,-1.35132e-15
0.000925,102.041,2.85745e-15,-6.43129e-8,1,0,4.25893e-8,3.23049e-8,1.01332e-15,-1.38886e-15
0.00095,102.041,2.85745e-15,-6.60511e-8,1,0,4.25893e-8,3.23049e-8,1.0407e-15,-1.4264e-15
0.000975,102.041,2.85745e-15,-6.77893e-8,1,0,4.25893e-8,3.23049e-8,1.06809e-15,-1.46393e-15
0.001,102.041,2.85745e-15,-6.95275e-8,1,0,4.25893e-8,3.23049e-8,1.09548e-15,-1.50147e-15
0.00125,102.041,2.85745e-15,-8.69094e-8,1,0,4.25893e-8,3.23049e-8,1.36935e-15,-1.87684e-15
0.0015,102.041,2.85745e-15,-1.04291e-7,1,0,4.25893e-8,3.23049e-8,1.64322e-15,-2.2522e-15
0.00175,102.041,2.85745e-15,-1.21673e-7,1,0,4.25893e-8,3.23049e-8,1.91708e-15,-2.62757e-15
0.002,102.041,2.85745e-15,-1.39055e-7,1,0,4.25893e-8,3.23049e-8,2.19095e-15,-3.00294e-15
0.00225,102.041,2.85745e-15,-1.56437e-7,1,0,4.25893e-8,3.23049e-8,2.46482e-15,-3.37831e-15
