Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,1.03346,2.89399e-17,0,1,0,5.36695e-9,3.68558e-10,0,0
0.0001,1.03346,2.89399e-17,-7.11455e-12,1,0,5.36695e-9,3.68558e-10,9.2384e-18,6.15236e-19
0.000125,1.03346,2.89399e-17,-8.89319e-12,1,0,5.36695e-9,3.68558e-10,1.1548e-17,7.69045e-19
0.00015,1.03346,2.89399e-17,-1.06718e-11,1,0,5.36695e-9,3.68558e-10,1.38576e-17,9.22853e-19
0.000175,1.03346,2.89399e-17,-1.24505e-11,1,0,5.36695e-9,3.68558e-10,1.61672e-17,1.07666e-18
0.0002,1.03346,2.89399e-17,-1.42291e-11,1,0,5.36695e-9,3.68558e-10,1.84768e-17,1.23047e-18
0.000225,1.03346,2.89399e-17,-1.60077e-11,1,0,5.36695e-9,3.68558e-10,2.07864e-17,1.38428e-18
0.00025,1.03346,2.89399e-17,-1.77864e-11,1,0,5.36695e-9,3.68558e-10,2.3096e-17,1.53809e-18
0.000275,1.03346,2.89399e-17,-1.9565e-11,1,0,5.36695e-9,3.68558e-10,2.54056e-17,1.6919e-18
0.0003,1.03346,2.89399e-17,-2.13437e-11,1,0,5.36695e-9,3.68558e-10,2.77152e-17,1.84571e-18
0.000325,1.03346,2.89399e-17,-2.31223e-11,1,0,5.36695e-9,3.68558e-10,3.00248e-17,1.99952e-18
0.00035,1.03346,2.89399e-17,-2.49009e-11,1,0,5.36695e-9,3.68558e-10,3.23344e-17,2.15332e-18
0.000375,1.03346,2.89399e-17,-2.66796e-11,1,0,5.36695e-9,3.68558e-10,3.4644e-17,2.30713e-18
0.0004,1.03346,2.89399e-17,-2.84582e-11,1,0,5.36695e-9,3.68558e-10,3.69536e-17,2.46094e-18
0.000425,1.03346,2.89399e-17,-3.02368e-11,1,0,5.36695e-9,3.68558e-10,3.92632e-17,2.61475e-18
