Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
0,152.451,4.26905e-15,0,1,0,-6.48717e-8,7.79218e-9,0,0
0.0001,152.451,4.26905e-15,3.94921e-10,1,0,-6.48717e-8,7.79218e-9,-9.25346e-15,1.0985e-15
0.000125,152.451,4.26905e-15,4.93651e-10,1,0,-6.48717e-8,7.79218e-9,-1.15668e-14,1.37313e-15
0.00015,152.451,4.26905e-15,5.92382e-10,1,0,-6.48717e-8,7.79218e-9,-1.38802e-14,1.64775e-15
0.000175,152.451,4.26905e-15,6.91112e-10,1,0,-6.48717e-8,7.79218e-9,-1.61936e-14,1.92238e-15
0.0002,152.451,4.26905e-15,7.89842e-10,1,0,-6.48717e-8,7.79218e-9,-1.85069e-14,2.197e-15
0.000225,152.451,4.26905e-15,8.88573e-10,1,0,-6.48717e-8,7.79218e-9,-2.08203e-14,2.47163e-15
0.00025,152.451,4.26905e-15,9.87303e-10,1,0,-6.48717e-8,7.79218e-9,-2.31337e-14,2.74626e-15
0.000275,152.451,4.26905e-15,1.08603e-9,1,0,-6.48717e-8,7.79218e-9,-2.5447e-14,3.02088e-15
0.0003,152.451,4.26905e-15,1.18476e-9,1,0,-6.48716e-8,7.79218e-9,-2.77604e-14,3.29551e-15
0.000325,152.451,4.26905e-15,1.28349e-9,1,0,-6.48716e-8,7.79218e-9,-3.00738e-14,3.57013e-15
0.00035,152.45,4.26905e-15,1.38222e-9,1,0,-6.48716e-8,7.79218e-9,-3.23871e-14,3.84476e-15
0.000375,152.45,4.26905e-15,1.48095e-9,1,0,-6.48716e-8,7.79218e-9,-3.47005e-14,4.11938e-15
0.0004,152.45,4.26905e-15,1.57968e-9,1,0,-6.48716e-8,7.79218e-9,-3.70138e-14,4.39401e-15
0.000425,152.45,4.26905e-15,1.67842e-9,1,0,-6.48716e-8,7.79218e-9,-3.93272e-14,4.66863e-15
0.00045,152.45,4.26905e-15,1.77715e-9,1,0,-6.48716e-8,7.79218e-9,-4.16406e-14,4.94326e-15
0.000475,152.45,4.26905e-15,1.87588e-9,1,0,-6.48716e-8,7.79218e-9,-4.39539e-14,5.21789e-15
0.0005,152.45,4.26905e-15,1.97461e-9,1,0,-6.48716e-8,7.79218e-9,-4.62673e-14,5.49251e-15
0.000525,152.45,4.26905e-15,2.07334e-9,1,0,-6.48716e-8,7.79218e-9,-4.85807e-14,5.76714e-15
0.00055,152.45,4.26905e-15,2.17207e-9,1,0,-6.48716e-8,7.79218e-9,-5.0894e-14,6.04176e-15
0.000575,152.45,4.26905e-15,2.2708e-9,1,0,-6.48716e-8,7.79218e-9,-5.32074e-14,6.31639e-15
0.0006,152.45,4.26905e-15,2.36953e-9,1,0,-6.48716e-8,7.79218e-9,-5.55208e-14,6.59101e-15
0.000625,152.45,4.26905e-15,2.46826e-9,1,0,-6.48716e-8,7.79218e-9,-5.78341e-14,6.86564e-15
0.00065,152.45,4.26905e-15,2.56699e-9,1,0,-6.48716e-8,7.79218e-9,-6.01475e-14,7.14026e-15
0.000675,152.45,4.26904e-15,2.66572e-9,1,0,-6.48716e-8,7.79218e-9,-6.24608e-14,7.41489e-15
0.0007,152.45,4.26904e-15,2.76445e-9,1,0,-6.48716e-8,7.79218e-9,-6.47742e-14,7.68952e-15
0.000725,152.45,4.26904e-15,2.86318e-9,1,0,-6.48716e-8,7.79218e-9,-6.70876e-14,7.96414e-15
0.00075,152.45,4.26904e-15,2.96191e-9,1,0,-6.48716e-8,7.79218e-9,-6.94009e-14,8.23877e-15
0.000775,152.45,4.26904e-15,3.06064e-9,1,0,-6.48716e-8,7.79218e-9,-7.17143e-14,8.51339e-15
0.0008,152.45,4.26904e-15,3.15937e-9,1,0,-6.48716e-8,7.79218e-9,-7.40276e-14,8.78802e-15
0.000825,152.45,4.26904e-15,3.2581e-9,1,0,-6.48716e-8,7.79218e-9,-7.6341e-14,9.06264e-15
