 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: positron
 # Kinetic energy = 1.00000E+05 eV = 3.67493E+03 a.u.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Electron density: Read from file z_029.den   
 #                   Number of data points =  771
 #                   Volume integral = 2.90000E+01
 #
 # Total elastic cross section = 5.76694E-18 cm**2 = 2.05941E-01 a0**2
 # 1st transport cross section = 1.86853E-20 cm**2 = 6.67264E-04 a0**2
 # 2nd transport cross section = 4.84743E-20 cm**2 = 1.73105E-03 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  6.000E-03  2.74156E-09  4.26863E-15  1.52435E+02  2.36963E-08  1.0E-07
  6.250E-03  2.97478E-09  4.26859E-15  1.52434E+02  2.46837E-08  1.0E-07
  6.500E-03  3.21752E-09  4.26855E-15  1.52433E+02  2.56712E-08  1.0E-07
  6.750E-03  3.46978E-09  4.26851E-15  1.52431E+02  2.66586E-08  1.0E-07
  7.000E-03  3.73156E-09  4.26847E-15  1.52430E+02  2.76461E-08  1.0E-07
  7.250E-03  4.00286E-09  4.26843E-15  1.52428E+02  2.86336E-08  1.0E-07
  7.500E-03  4.28368E-09  4.26839E-15  1.52427E+02  2.96211E-08  1.0E-07
  7.750E-03  4.57402E-09  4.26834E-15  1.52425E+02  3.06086E-08  1.0E-07
  8.000E-03  4.87388E-09  4.26830E-15  1.52424E+02  3.15961E-08  1.0E-07
  8.250E-03  5.18326E-09  4.26825E-15  1.52422E+02  3.25837E-08  1.0E-07
  8.500E-03  5.50215E-09  4.26820E-15  1.52420E+02  3.35712E-08  1.0E-07
  8.750E-03  5.83057E-09  4.26815E-15  1.52418E+02  3.45588E-08  1.0E-07
  9.000E-03  6.16850E-09  4.26810E-15  1.52417E+02  3.55464E-08  1.0E-07
  9.250E-03  6.51596E-09  4.26804E-15  1.52415E+02  3.65340E-08  1.0E-07
  9.500E-03  6.87293E-09  4.26799E-15  1.52413E+02  3.75216E-08  1.0E-07
  9.750E-03  7.23942E-09  4.26793E-15  1.52411E+02  3.85092E-08  1.0E-07
  1.000E-02  7.61544E-09  4.26788E-15  1.52409E+02  3.94969E-08  1.0E-07
  1.250E-02  1.18991E-08  4.26721E-15  1.52385E+02  4.93745E-08  1.0E-07
  1.500E-02  1.71347E-08  4.26641E-15  1.52356E+02  5.92543E-08  1.0E-07
  1.750E-02  2.33223E-08  4.26545E-15  1.52322E+02  6.91369E-08  1.0E-07
  2.000E-02  3.04617E-08  4.26436E-15  1.52283E+02  7.90225E-08  1.0E-07
  2.250E-02  3.85531E-08  4.26311E-15  1.52238E+02  8.89118E-08  1.0E-07
  2.500E-02  4.75965E-08  4.26172E-15  1.52189E+02  9.88051E-08  1.0E-07
  2.750E-02  5.75917E-08  4.26018E-15  1.52134E+02  1.08703E-07  1.0E-07
  3.000E-02  6.85389E-08  4.25850E-15  1.52074E+02  1.18606E-07  1.0E-07
  3.250E-02  8.04380E-08  4.25667E-15  1.52009E+02  1.28514E-07  1.0E-07
  3.500E-02  9.32891E-08  4.25470E-15  1.51938E+02  1.38428E-07  1.0E-07
  3.750E-02  1.07092E-07  4.25259E-15  1.51863E+02  1.48348E-07  1.0E-07
  4.000E-02  1.21847E-07  4.25033E-15  1.51782E+02  1.58275E-07  1.0E-07
  4.250E-02  1.37554E-07  4.24793E-15  1.51696E+02  1.68209E-07  1.0E-07
  4.500E-02  1.54213E-07  4.24538E-15  1.51605E+02  1.78150E-07  1.0E-07
  4.750E-02  1.71823E-07  4.24269E-15  1.51509E+02  1.88100E-07  1.0E-07
  5.000E-02  1.90386E-07  4.23987E-15  1.51408E+02  1.98058E-07  1.0E-07
  5.250E-02  2.09900E-07  4.23690E-15  1.51302E+02  2.08025E-07  1.0E-07
  5.500E-02  2.30367E-07  4.23378E-15  1.51191E+02  2.18002E-07  1.0E-07
  5.750E-02  2.51785E-07  4.23053E-15  1.51075E+02  2.27988E-07  1.0E-07
  6.000E-02  2.74156E-07  4.22714E-15  1.50954E+02  2.37985E-07  1.0E-07
  6.250E-02  2.97478E-07  4.22361E-15  1.50828E+02  2.47992E-07  1.0E-07
  6.500E-02  3.21752E-07  4.21995E-15  1.50697E+02  2.58010E-07  1.0E-07
  6.750E-02  3.46978E-07  4.21614E-15  1.50561E+02  2.68040E-07  1.0E-07
  7.000E-02  3.73156E-07  4.21220E-15  1.50420E+02  2.78082E-07  1.0E-07
  7.250E-02  4.00286E-07  4.20812E-15  1.50275E+02  2.88136E-07  1.0E-07
  7.500E-02  4.28368E-07  4.20391E-15  1.50124E+02  2.98203E-07  1.0E-07
  7.750E-02  4.57402E-07  4.19956E-15  1.49969E+02  3.08284E-07  1.0E-07
  8.000E-02  4.87388E-07  4.19508E-15  1.49809E+02  3.18378E-07  1.0E-07
  8.250E-02  5.18325E-07  4.19047E-15  1.49644E+02  3.28486E-07  1.0E-07
  8.500E-02  5.50215E-07  4.18572E-15  1.49475E+02  3.38609E-07  1.0E-07
  8.750E-02  5.83057E-07  4.18084E-15  1.49301E+02  3.48747E-07  1.0E-07
  9.000E-02  6.16850E-07  4.17584E-15  1.49122E+02  3.58900E-07  1.0E-07
  9.250E-02  6.51596E-07  4.17070E-15  1.48938E+02  3.69069E-07  1.0E-07
  9.500E-02  6.87293E-07  4.16544E-15  1.48750E+02  3.79254E-07  1.0E-07
  9.750E-02  7.23942E-07  4.16005E-15  1.48558E+02  3.89456E-07  1.0E-07
  1.000E-01  7.61543E-07  4.15453E-15  1.48361E+02  3.99675E-07  1.0E-07
  1.250E-01  1.18991E-06  4.09262E-15  1.46150E+02  5.02897E-07  1.0E-07
  1.500E-01  1.71347E-06  4.01930E-15  1.43532E+02  6.08276E-07  1.0E-07
  1.750E-01  2.33223E-06  3.93580E-15  1.40550E+02  7.16199E-07  1.0E-07
  2.000E-01  3.04617E-06  3.84347E-15  1.37253E+02  8.27034E-07  1.0E-07
  2.250E-01  3.85531E-06  3.74373E-15  1.33691E+02  9.41123E-07  1.0E-07
  2.500E-01  4.75964E-06  3.63798E-15  1.29915E+02  1.05878E-06  1.0E-07
  2.750E-01  5.75916E-06  3.52763E-15  1.25974E+02  1.18031E-06  1.0E-07
  3.000E-01  6.85388E-06  3.41399E-15  1.21916E+02  1.30596E-06  1.0E-07
  3.250E-01  8.04378E-06  3.29831E-15  1.17785E+02  1.43596E-06  1.0E-07
  3.500E-01  9.32888E-06  3.18172E-15  1.13621E+02  1.57053E-06  1.0E-07
  3.750E-01  1.07092E-05  3.06521E-15  1.09461E+02  1.70984E-06  1.0E-07
  4.000E-01  1.21846E-05  2.94967E-15  1.05335E+02  1.85403E-06  1.0E-07
