Angle_deg,DCS_a02_sr,DCS_cm2_sr,Sherman_S,Spin_T,Spin_U,Re_f,Im_f,Re_g,Im_g
70.5,0.0846028,2.36912e-18,0.0189518,1,0,1.38281e-9,-6.75832e-10,7.70742e-12,1.24679e-11
71,0.0832674,2.33173e-18,0.019288,1,0,1.39256e-9,-6.2633e-10,7.77507e-12,1.26511e-11
71.5,0.0819584,2.29507e-18,0.0196087,1,0,1.40066e-9,-5.77058e-10,7.83975e-12,1.28352e-11
72,0.0806751,2.25913e-18,0.0199133,1,0,1.40714e-9,-5.28058e-10,7.90144e-12,1.302e-11
72.5,0.0794168,2.2239e-18,0.020201,1,0,1.41204e-9,-4.79374e-10,7.96012e-12,1.32054e-11
73,0.0781831,2.18935e-18,0.0204711,1,0,1.41538e-9,-4.31045e-10,8.01578e-12,1.33914e-11
73.5,0.0769733,2.15547e-18,0.0207227,1,0,1.4172e-9,-3.83109e-10,8.06839e-12,1.35779e-11
74,0.0757871,2.12225e-18,0.0209553,1,0,1.41752e-9,-3.35603e-10,8.11794e-12,1.37648e-11
74.5,0.0746238,2.08968e-18,0.021168,1,0,1.41639e-9,-2.88564e-10,8.16442e-12,1.39519e-11
75,0.0734831,2.05774e-18,0.0213601,1,0,1.41382e-9,-2.42024e-10,8.20783e-12,1.41391e-11
75.5,0.0723646,2.02642e-18,0.0215309,1,0,1.40987e-9,-1.96017e-10,8.24816e-12,1.43265e-11
76,0.0712679,1.9957e-18,0.0216795,1,0,1.40455e-9,-1.50572e-10,8.2854e-12,1.45139e-11
76.5,0.0701926,1.96559e-18,0.0218054,1,0,1.3979e-9,-1.05719e-10,8.31955e-12,1.47011e-11
77,0.0691385,1.93608e-18,0.0219077,1,0,1.38997e-9,-6.1487e-11,8.35062e-12,1.48882e-11
77.5,0.0681052,1.90714e-18,0.0219858,1,0,1.38077e-9,-1.79011e-11,8.3786e-12,1.5075e-11
78,0.0670925,1.87878e-18,0.0220389,1,0,1.37035e-9,2.50131e-11,8.40351e-12,1.52613e-11
78.5,0.0661001,1.85099e-18,0.0220663,1,0,1.35874e-9,6.72319e-11,8.42536e-12,1.54473e-11
79,0.0651278,1.82376e-18,0.0220674,1,0,1.34597e-9,1.08733e-10,8.44414e-12,1.56326e-11
79.5,0.0641755,1.7971e-18,0.0220413,1,0,1.33208e-9,1.49495e-10,8.45988e-12,1.58174e-11
80,0.0632429,1.77098e-18,0.0219875,1,0,1.3171e-9,1.89499e-10,8.47258e-12,1.60013e-11
80.5,0.06233,1.74542e-18,0.0219053,1,0,1.30106e-9,2.28726e-10,8.48228e-12,1.61845e-11
81,0.0614365,1.7204e-18,0.0217941,1,0,1.28401e-9,2.67158e-10,8.48897e-12,1.63668e-11
81.5,0.0605624,1.69592e-18,0.0216531,1,0,1.26597e-9,3.0478e-10,8.49268e-12,1.6548e-11
82,0.0597077,1.67198e-18,0.0214818,1,0,1.24698e-9,3.41577e-10,8.49344e-12,1.67283e-11
82.5,0.0588721,1.64859e-18,0.0212796,1,0,1.22707e-9,3.77534e-10,8.49126e-12,1.69073e-11
83,0.0580558,1.62573e-18,0.021046,1,0,1.20627e-9,4.1264e-10,8.48618e-12,1.70851e-11
83.5,0.0572587,1.60341e-18,0.0207804,1,0,1.18462e-9,4.46883e-10,8.47822e-12,1.72616e-11
84,0.0564806,1.58162e-18,0.0204824,1,0,1.16215e-9,4.80252e-10,8.4674e-12,1.74367e-11
84.5,0.0557218,1.56037e-18,0.0201514,1,0,1.1389e-9,5.12738e-10,8.45376e-12,1.76104e-11
85,0.054982,1.53965e-18,0.0197872,1,0,1.11488e-9,5.44333e-10,8.43732e-12,1.77825e-11
85.5,0.0542615,1.51948e-18,0.0193892,1,0,1.09015e-9,5.75028e-10,8.41813e-12,1.79529e-11
86,0.0535602,1.49984e-18,0.0189572,1,0,1.06472e-9,6.04819e-10,8.39622e-12,1.81217e-11
86.5,0.0528781,1.48074e-18,0.0184911,1,0,1.03863e-9,6.33698e-10,8.37161e-12,1.82887e-11
87,0.0522154,1.46218e-18,0.0179905,1,0,1.01192e-9,6.61662e-10,8.34436e-12,1.84539e-11
87.5,0.0515721,1.44417e-18,0.0174553,1,0,9.84599e-10,6.88706e-10,8.31449e-12,1.86172e-11
88,0.0509483,1.4267e-18,0.0168856,1,0,9.56713e-10,7.14828e-10,8.28204e-12,1.87785e-11
88.5,0.0503441,1.40978e-18,0.0162814,1,0,9.28286e-10,7.40025e-10,8.24706e-12,1.89377e-11
89,0.0497596,1.39341e-18,0.0156427,1,0,8.99349e-10,7.64297e-10,8.20959e-12,1.90948e-11
89.5,0.0491948,1.3776e-18,0.0149699,1,0,8.6993e-10,7.87642e-10,8.16967e-12,1.92498e-11
90,0.04865,1.36234e-18,0.0142631,1,0,8.40057e-10,8.10062e-10,8.12735e-12,1.94026e-11
90.5,0.0481251,1.34764e-18,0.0135229,1,0,8.09758e-10,8.31556e-10,8.08266e-12,1.9553e-11
91,0.0476204,1.33351e-18,0.0127498,1,0,7.79061e-10,8.52126e-10,8.03565e-12,1.97011e-11
91.5,0.047136,1.31994e-18,0.0119443,1,0,7.47992e-10,8.71775e-10,7.98638e-12,1.98468e-11
92,0.046672,1.30695e-18,0.0111073,1,0,7.16578e-10,8.90506e-10,7.93488e-12,1.999e-11
92.5,0.0462285,1.29453e-18,0.0102396,1,0,6.84844e-10,9.08322e-10,7.88121e-12,2.01307e-11
93,0.0458056,1.28269e-18,0.00934216,1,0,6.52817e-10,9.25228e-10,7.82541e-12,2.02688e-11
93.5,0.0454036,1.27143e-18,0.00841613,1,0,6.2052e-10,9.41227e-10,7.76754e-12,2.04043e-11
94,0.0450225,1.26076e-18,0.00746276,1,0,5.87979e-10,9.56326e-10,7.70764e-12,2.05371e-11
94.5,0.0446626,1.25068e-18,0.00648341,1,0,5.55216e-10,9.7053e-10,7.64576e-12,2.06672e-11
95,0.0443238,1.24119e-18,0.00547956,1,0,5.22256e-10,9.83845e-10,7.58195e-12,2.07945e-11
95.5,0.0440065,1.23231e-18,0.00445284,1,0,4.89122e-10,9.96279e-10,7.51628e-12,2.0919e-11
96,0.0437106,1.22402e-18,0.00340498,1,0,4.55835e-10,1.00784e-9,7.44878e-12,2.10406e-11
96.5,0.0434364,1.21634e-18,0.00233785,1,0,4.22418e-10,1.01853e-9,7.37951e-12,2.11593e-11
97,0.043184,1.20928e-18,0.00125341,1,0,3.88891e-10,1.02836e-9,7.30853e-12,2.12751e-11
97.5,0.0429536,1.20282e-18,0.000153744,1,0,3.55276e-10,1.03735e-9,7.23588e-12,2.13879e-11
98,0.0427452,1.19699e-18,-0.000958984,1,0,3.21592e-10,1.04549e-9,7.16162e-12,2.14976e-11
98.5,0.0425589,1.19177e-18,-0.0020825,1,0,2.8786e-10,1.0528e-9,7.0858e-12,2.16043e-11
99,0.0423951,1.18718e-18,-0.00321448,1,0,2.54099e-10,1.05929e-9,7.00849e-12,2.17078e-11
99.5,0.0422536,1.18322e-18,-0.00435248,1,0,2.20327e-10,1.06497e-9,6.92972e-12,2.18083e-11
100,0.0421347,1.17989e-18,-0.00549406,1,0,1.86562e-10,1.06984e-9,6.84956e-12,2.19055e-11
100.5,0.0420385,1.1772e-18,-0.00663669,1,0,1.52822e-10,1.07392e-9,6.76806e-12,2.19996e-11
101,0.041965,1.17514e-18,-0.00777784,1,0,1.19125e-10,1.07723e-9,6.68527e-12,2.20904e-11
101.5,0.0419144,1.17372e-18,-0.00891495,1,0,8.54866e-11,1.07976e-9,6.60125e-12,2.2178e-11
102,0.0418868,1.17295e-18,-0.0100455,1,0,5.19231e-11,1.08153e-9,6.51606e-12,2.22623e-11
102.5,0.0418823,1.17282e-18,-0.0111668,1,0,1.84501e-11,1.08256e-9,6.42974e-12,2.23432e-11
103,0.0419009,1.17334e-18,-0.0122766,1,0,-1.49173e-11,1.08286e-9,6.34235e-12,2.24208e-11
103.5,0.0419427,1.17451e-18,-0.0133722,1,0,-4.81644e-11,1.08243e-9,6.25395e-12,2.24951e-11
104,0.0420078,1.17634e-18,-0.0144513,1,0,-8.1277e-11,1.08129e-9,6.16458e-12,2.2566e-11
104.5,0.0420962,1.17881e-18,-0.0155115,1,0,-1.14242e-10,1.07945e-9,6.07431e-12,2.26334e-11
